place_id,google_name,address,google_rating,review_count,latitude,longitude,types,search_postcode
ChIJe3ff-sSxe0gRb1cqXvEwaKY,Jack Ross Chartered Accountants,"Barnfield House, The Approach, Salford, Manchester M3 7BX, UK",4.3,32,53.485138,-2.249527,"accounting, establishment, finance, point_of_interest",M8 8AW
ChIJs1TO9K6te0gRkSYAK64FoIU,A&C Chartered Accountants,"53 King St, Manchester M2 4LQ, UK",5.0,120,53.4813054,-2.2444887,"accounting, establishment, finance, point_of_interest",M8 8AW
ChIJDZokRT6ve0gRZwi7fEytbYo,"Lucas Prestige Accountants Ltd, Manchester","Manchester, Salford, MediaCityUK M50 2ST, UK",5.0,90,53.4729251,-2.3009574,"accounting, establishment, finance, point_of_interest",M8 8AW
ChIJccKRN92xe0gRzGPdS4pD1Gw,akody (Part of RJF Group),"10th floor, 3 Hardman St, Manchester M3 3HF, UK",4.9,51,53.47990859999999,-2.2510893,"accounting, establishment, finance, point_of_interest",M8 8AW
ChIJ419tAOmxe0gR0XPsCL0k-jI,Sedulo Manchester,"62-66 Deansgate, Manchester M3 2EN, UK",4.0,16,53.4830102,-2.2469232,"accounting, establishment, finance, point_of_interest",M3 2EN
ChIJGep9n4Gxe0gRFLo2kIB0CXs,"Future Connect Training and Recruitment (Accounting, IT and Marketing Training Manchester)","7 St James's Square, Manchester M2 6DN, UK",4.8,45,53.4806132,-2.2457729,"accounting, establishment, finance, point_of_interest",M3 2EN
ChIJsTkprtOze0gRGImpfiNnZG8,Accountant@Work,"1087 Stockport Rd, Manchester M19 2RE, UK",4.8,21,53.4360802,-2.1840482,"accounting, establishment, finance, point_of_interest",M16 0GJ
ChIJ0ar5JvYPla8RfLfG_ni-KUY,Atria Accountants Ltd (formerly ATR Accountancy & Bookkeeping Ltd),"Imperial House, 79-81 Hornby St, Bury BL9 5BN, UK",5.0,137,53.598546,-2.2935745,"accounting, establishment, finance, point_of_interest",BL9 9SW
ChIJW6HytqSke0gRPXRAj9pA0As,The Accountants( Bury) Ltd,"8 Walmersley Old Rd, Bury BL9 6SQ, UK",4.9,14,53.6178818,-2.2943064,"accounting, establishment, finance, point_of_interest",BL9 9SW
ChIJg8FYbFZW5okRjF81rUp8p_Y,MMNT Certified Public Accountants,"160 Chapel Rd Suite 301, Manchester, CT 06042, USA",4.9,146,41.7968054,-72.5744668,"accounting, establishment, finance, point_of_interest",M22 0JA
ChIJBeDd8oCye0gRyUJ6gcvxKH4,TaxAssist Accountants,"281 Palatine Rd, Northenden, Wythenshawe, Manchester M22 4ET, UK",5.0,28,53.4103372,-2.2557334,"accounting, establishment, finance, point_of_interest",M22 4FW
ChIJVw2y9YGye0gRVqtFAh7lQcg,Nabarro Poole Ltd,"31 Church Rd, Northenden, Wythenshawe, Manchester M22 4NN, UK",5.0,23,53.40733119999999,-2.2572954,"accounting, establishment, finance, point_of_interest",M22 4FW
ChIJ6ZTIqGNrTiUR7pO6fXmWy4M,Corbar Accounting Ltd,"Manchester Rd, Buxton SK17 6SS, UK",5.0,13,53.2671707,-1.9325053,"accounting, establishment, finance, point_of_interest",SK17 6SS
ChIJP2IEIz0xekgRRkhtqj-UBcs,SMH Bullock Woodburn,"Norfolk House, Hardwick Square N, Buxton SK17 6PU, UK",5.0,10,53.2578458,-1.9110841,"accounting, establishment, finance, point_of_interest",SK17 6SS
ChIJJ2FaYRYxekgRDOEsZgMI56o,ABS Accountancy Ltd,"Suite 1, Harewood Business Centre, 2 Fairfield Rd, Buxton SK17 7DW, UK",4.3,11,53.2608939,-1.9057497,"accounting, establishment, finance, point_of_interest",SK17 6SS
ChIJmY3FeyQ1ekgRiRsMVaqmba0,Disley and High Peak Accountants,"15 Buxton Old Rd, Disley, Stockport SK12 2BB, UK",5.0,12,53.3582833,-2.0385304,"accounting, establishment, finance, point_of_interest",SK17 6SS
ChIJDUc_k1-xe0gRrM05Jyg3-vQ,YRF Accountants Manchester,"First Floor, Swan Buildings, 20 Swan St, Manchester M4 5JW, UK",5.0,14,53.48558380000001,-2.2337258,"accounting, establishment, finance, point_of_interest",M4 5JW
ChIJGW-5yrm5e0gRpYm0uMraMrM,AIMS Accountants For Business - David Simon and Harvey Simon,"Harewood House, 2-6 Rochdale Rd, Middleton, Manchester M24 6DP, UK",4.7,12,53.5548211,-2.1966762,"accounting, establishment, finance, point_of_interest",M24 1EA
ChIJpZIDDke7e0gRqDezMz0myCw,Everyday Accountants,"590 Manchester Old Rd, Middleton, Manchester M24 4PW, UK",5.0,26,53.5445392,-2.2219,"accounting, establishment, finance, point_of_interest",M24 1EA
ChIJ5et9UU-me0gRFGQTLAInbH0,More Than Accountants,"5, Canon Court, Institute St, Bolton BL1 1PZ, UK",4.7,269,53.57828809999999,-2.424263,"accounting, establishment, finance, point_of_interest",BL3 2NZ
ChIJNybsgQexe0gRwSqVfZ7pIGw,Fair View Accounting & Tax Services Ltd,"Suite 10, Flexspace, Manchester Rd, Bolton BL3 2NZ, UK",4.6,11,53.56302710000001,-2.4105958,"accounting, establishment, finance, point_of_interest",BL3 2NZ
