name,company_number,address_line1,locality,postcode,sic_codes,search_city,search_sic,latitude,longitude
COUNTWISE ADVISORS LTD,14847401,315 Dickenson Road,Manchester,M13 0NR,"62020, 69201, 69203, 70229",Manchester,69201,53.455727,-2.203895
OUTSOURCE ACCOUNTANCY LIMITED,04112757,8 Welbeck Road,Manchester,M30 9EH,69201,Manchester,69201,53.494628,-2.342123
CONSTRUCTIONHELPDESK PVT LTD,12678698,"Apartment 605, Lumiere Build 38, City Road East",Manchester,M15 4QN,"69201, 79110, 85320, 85600",Manchester,69201,53.472125,-2.249877
HEATON ACCOUNTANCY SERVICES LTD,06536774,"113 Treen Road, Astley",Manchester,M29 7HB,69201,Manchester,69201,53.511772,-2.44741
THINK BIG ACCOUNTING LIMITED,11823879,International House,Manchester,M2 3HZ,69201,Manchester,69201,53.479531,-2.240789
GLONICE LTD,10520140,Initial Business Centre,Manchester,M40 8WN,"69201, 85590",Manchester,69201,53.499615,-2.205552
SLADE & COOPER LIMITED,05385401,Beehive Mill,Manchester,M4 6JG,69201,Manchester,69201,53.485007,-2.226112
CM CONSULTANTS LIMITED,08710783,2 Oakdene Road,Manchester,M24 2FQ,"69201, 70229",Manchester,69201,53.547787,-2.175104
YAN ACCOUNTANCY SERVICES LTD,12441420,15 Oldham Road,Manchester,M4 5EQ,69201,Manchester,69201,53.485264,-2.232804
COVERASSET LIMITED,02600172,29 Arthur Street,Manchester,M27 0HP,69201,Manchester,69201,53.506934,-2.354057
R MOORE ACCOUNTANCY LTD,13206501,International House,Manchester,M2 3HZ,"69201, 69202, 69203",Manchester,69201,53.479531,-2.240789
G WATSON CONSULTING LIMITED,08894086,Flat 4 5a,Manchester,M21 9DJ,69201,Manchester,69201,53.439088,-2.276134
LEV LTD,16245100,111 Rico House,Manchester,M25 9WS,69201,Manchester,69201,53.51854,-2.274718
LEANNE ORME MEDIA PRODUCTION FINANCE LTD,16305329,20 Windsor Avenue,Manchester,M41 5GP,69201,Manchester,69201,53.450573,-2.381325
