place_id,name,address,country,suburb,city,rating,reviews,longitude,latitude,postcode,outward_code,flag_hospitality,flag_construction,flag_healthcare,flag_media,flag_professional_services,flag_real_estate,place_id,Badge,claimed,specialisms,fees,client_type,focus_area,client_portal,accreditations,submitted_entry,firm_slug,city_slug,specalist_segments,bio,website
ChIJG4udmGpJiEgRaiasN3z8mFI,Count Tax Ltd,"74 Queen Elizabeth Ave, Hillington, Glasgow G52 4BJ, UK",GB,Hillington,Glasgow,5,16,-4.36686,55.85623,G52 4BJ,G52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
ChIJaXElk4dGiEgRsSHD8lkVj6k,Haris & Co - Accountants,"41 Morrison St, Kinning Park, Glasgow G5 8LB, UK",GB,,Glasgow,4.6,11,-4.26628,55.85347,G5 8LB,G5,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,
ChIJSchCVtdHiEgRzJf8Rq6T4Yk,TaxAssist Accountants,"159 West St, Kinning Park, Glasgow G5 8BN, UK",GB,,Glasgow,5,55,-4.26494,55.85208,G5 8BN,G5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,https://cdn.prod.website-files.com/652d1737a649f74737889bff/69def2705359b17543ce8515_glasgow.png,,,,,,,,,,,,,
ChIJY-bcDBNPiEgRpywj83VJPUg,LPA Accountancy,"22 Milnpark St, Kinning Park, Glasgow G41 1BB, UK",GB,,Glasgow,5,28,-4.27848,55.85186,G41 1BB,G41,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,https://cdn.prod.website-files.com/652d1737a649f74737889bff/69def2705359b17543ce8515_glasgow.png,,,,,,,,,,,,,
ChIJiZtvtrxHiEgRkqNsPFCZsRY,Sheraz & Co,"5 N Gower St, Glasgow G51 1PW, UK",GB,,Glasgow,5,15,-4.2974,55.85123,G51 1PW,G51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
ChIJF55TX7JGiEgR8T4NA4DMGX8,BB Accounting Solutions,"47 Broad St, Bridgeton, Glasgow G40 2QW, UK",GB,Bridgeton,Glasgow,4.8,23,-4.22463,55.85055,G40 2QW,G40,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,
ChIJdbZzSDZJiEgR1TjCMNkQjeI,Total Accounting Ltd,"10 Moncrieff St, Paisley PA3 2BE, UK",GB,Paisley,Glasgow,4.7,24,-4.42543,55.84884,PA3 2BE,PA3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,
ChIJod3nwLNGiEgRUUcMHQxcIgQ,DS Accountancy,"Suite 1, 09 33 Dalmarnock Rd, Bridgeton, Glasgow G40 4LA, UK",GB,Bridgeton,Glasgow,4.9,32,-4.22546,55.84835,G40 4LA,G40,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,
ChIJe5sm3n9JiEgRNSlQZBwkcC4,Pro Tax Accountants Saleem & Co.,"21 Underwood Rd, Paisley PA3 1TH, UK",GB,Paisley,Glasgow,5,14,-4.43333,55.8482,PA3 1TH,PA3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
ChIJU3iCJ8hJiEgRAGVt5nmj1b4,McCreath Accountancy,"Griffen Avenue Phoenix Business Park Phoenix House, Ground Floor, Left, Paisley PA1 2BH, UK",GB,Paisley,Glasgow,5,25,-4.47775,55.84791,PA1 2BH,PA1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,
